dataset,method,num_train,test_f1,test_acc,test_auc,val_auc
7_hist_fig_ispolitician,pca,4,0.4981653793472515,0.5537537537537538,0.5978969799788569,1.0
7_hist_fig_ispolitician,knn,4,0.5238938826937667,0.5395395395395396,0.5395758336745488,0.5
7_hist_fig_ispolitician,xgboost,4,0.3332221169380806,0.4998998998998999,0.5,0.5
7_hist_fig_ispolitician,mlp,4,0.5652029565478005,0.5681681681681682,0.5789879801318026,0.5
7_hist_fig_ispolitician,logreg,5,0.5811552119290784,0.5820985182218662,0.6011399502390454,0.8333333333333334
7_hist_fig_ispolitician,pca,5,0.5296015022866097,0.5470564677613136,0.5589199630666131,1.0
7_hist_fig_ispolitician,knn,5,0.403042440425618,0.5054064877853424,0.5230629177920993,0.6666666666666666
7_hist_fig_ispolitician,xgboost,5,0.3333333333333333,0.5,0.5,0.5
7_hist_fig_ispolitician,mlp,5,0.5666278897953154,0.5742891469763717,0.5827393352599812,0.8333333333333334
7_hist_fig_ispolitician,logreg,7,0.5923743487468415,0.59375,0.6152398324498685,1.0
7_hist_fig_ispolitician,pca,7,0.5810299363165685,0.5849358974358975,0.6128780407626562,1.0
7_hist_fig_ispolitician,knn,7,0.5394889663182346,0.5600961538461539,0.5600961538461539,1.0
7_hist_fig_ispolitician,xgboost,7,0.3333333333333333,0.5,0.5,0.5
7_hist_fig_ispolitician,mlp,7,0.5785684859297705,0.5829326923076923,0.611158141487919,1.0
7_hist_fig_ispolitician,logreg,10,0.5394731518891744,0.5562236921226699,0.573412422278398,0.88
7_hist_fig_ispolitician,pca,10,0.5619850080392509,0.5634395670475045,0.5864386350889429,0.92
7_hist_fig_ispolitician,knn,10,0.5131336642802441,0.5488073762277009,0.548861636665472,0.66
7_hist_fig_ispolitician,xgboost,10,0.3332219831912983,0.4998997795149328,0.5,0.5
7_hist_fig_ispolitician,mlp,10,0.5505995421291673,0.5584285427941471,0.5644511155430347,0.84
7_hist_fig_ispolitician,logreg,14,0.5915143039538469,0.5929789368104313,0.6189079019971812,0.9166666666666666
7_hist_fig_ispolitician,pca,14,0.5822840539734531,0.5835506519558676,0.6245389176371207,1.0
7_hist_fig_ispolitician,knn,14,0.4898637235235116,0.5309929789368104,0.5604480667860379,0.6666666666666666
7_hist_fig_ispolitician,xgboost,14,0.3332218938479206,0.4998996990972918,0.5,0.5
7_hist_fig_ispolitician,mlp,14,0.5676166429343333,0.5735205616850552,0.6178413522550139,0.5833333333333334
7_hist_fig_ispolitician,logreg,20,0.555023870401918,0.5760192809801165,0.625186079795276,0.6666666666666666
7_hist_fig_ispolitician,pca,20,0.5738174747330274,0.5872665193814018,0.6029553327815077,0.8333333333333334
7_hist_fig_ispolitician,knn,20,0.5671633283572625,0.577023498694517,0.5770538159064543,0.625
7_hist_fig_ispolitician,xgboost,20,0.333221759563708,0.4998995782285599,0.5,0.5
7_hist_fig_ispolitician,mlp,20,0.5404207384294691,0.5633661377786704,0.6337541407090798,0.5
